time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,sunshine_duration,city,latitude,longitude
2023-03-07,25.0,16.2,19.4,8.7,4.3,31928.06,Medellín,6.2518,-75.5636
2023-03-08,23.4,14.9,18.6,21.7,9.0,32821.09,Medellín,6.2518,-75.5636
2023-03-09,21.0,15.8,18.1,11.5,5.2,5978.58,Medellín,6.2518,-75.5636
2023-03-10,24.5,14.6,18.5,7.0,8.4,31147.25,Medellín,6.2518,-75.5636
2023-03-11,21.8,15.4,18.0,12.6,7.7,12329.45,Medellín,6.2518,-75.5636
2023-03-12,24.6,14.8,18.5,18.4,6.6,24406.32,Medellín,6.2518,-75.5636
2023-03-13,24.1,16.6,18.6,20.1,5.4,22238.79,Medellín,6.2518,-75.5636
2023-03-14,25.3,14.9,18.3,11.9,6.5,26353.89,Medellín,6.2518,-75.5636
2023-03-15,24.4,13.7,17.8,14.5,5.4,29498.01,Medellín,6.2518,-75.5636
2023-03-16,25.3,13.0,17.5,11.3,7.7,32185.05,Medellín,6.2518,-75.5636
2023-03-17,24.6,13.0,17.8,15.9,4.6,23618.51,Medellín,6.2518,-75.5636
2023-03-18,24.8,13.1,17.7,10.7,7.6,30821.83,Medellín,6.2518,-75.5636
2023-03-19,25.4,13.4,18.1,3.5,10.7,36220.77,Medellín,6.2518,-75.5636
2023-03-20,26.3,13.3,18.3,0.7,8.5,37536.15,Medellín,6.2518,-75.5636
2023-03-21,26.7,14.5,19.2,0.1,12.5,39146.62,Medellín,6.2518,-75.5636
2023-03-22,25.6,14.8,19.4,0.8,7.0,38150.65,Medellín,6.2518,-75.5636
2023-03-23,25.4,16.1,19.1,8.2,10.6,23269.98,Medellín,6.2518,-75.5636
2023-03-24,24.1,15.6,18.9,6.6,9.9,25838.33,Medellín,6.2518,-75.5636
2023-03-25,23.9,13.5,18.3,2.4,8.4,29574.29,Medellín,6.2518,-75.5636
2023-03-26,25.2,13.5,18.8,2.5,10.1,31086.37,Medellín,6.2518,-75.5636
2023-03-27,26.5,14.7,19.0,3.0,9.7,27230.11,Medellín,6.2518,-75.5636
2023-03-28,27.2,14.5,18.8,7.4,9.0,30027.2,Medellín,6.2518,-75.5636
2023-03-29,26.2,14.7,18.3,10.0,7.7,22361.83,Medellín,6.2518,-75.5636
2023-03-30,26.2,15.9,19.6,1.4,10.2,32238.15,Medellín,6.2518,-75.5636
2023-03-31,26.9,16.4,20.2,0.6,10.9,30081.72,Medellín,6.2518,-75.5636
2023-04-01,26.2,15.6,19.7,3.9,10.5,32088.37,Medellín,6.2518,-75.5636
2023-04-02,25.9,16.0,19.5,1.1,10.3,26636.39,Medellín,6.2518,-75.5636
2023-04-03,27.0,14.3,20.1,0.0,13.6,40364.45,Medellín,6.2518,-75.5636
2023-04-04,26.4,15.7,19.7,2.7,8.0,32545.76,Medellín,6.2518,-75.5636
2023-04-05,26.1,15.8,19.4,2.9,10.8,30489.74,Medellín,6.2518,-75.5636
2023-04-06,25.3,16.1,19.4,3.2,5.8,36668.72,Medellín,6.2518,-75.5636
2023-04-07,23.8,14.4,18.8,2.8,8.3,39008.89,Medellín,6.2518,-75.5636
2023-04-08,25.6,13.5,18.7,5.3,8.3,37949.06,Medellín,6.2518,-75.5636
2023-04-09,26.3,14.0,19.2,1.4,9.2,36874.52,Medellín,6.2518,-75.5636
2023-04-10,25.8,16.3,20.0,2.0,10.5,33070.89,Medellín,6.2518,-75.5636
2023-04-11,26.1,16.7,20.5,0.4,10.5,30878.59,Medellín,6.2518,-75.5636
2023-04-12,25.9,16.1,20.1,0.8,11.5,31491.0,Medellín,6.2518,-75.5636
2023-04-13,27.4,15.7,20.4,0.5,10.2,30991.49,Medellín,6.2518,-75.5636
2023-04-14,25.6,17.1,20.0,18.0,10.0,21600.0,Medellín,6.2518,-75.5636
2023-04-15,26.7,17.0,20.6,0.8,6.6,26164.24,Medellín,6.2518,-75.5636
2023-04-16,23.9,16.6,19.1,13.6,6.1,14961.79,Medellín,6.2518,-75.5636
2023-04-17,25.7,15.6,19.5,6.9,6.8,32241.31,Medellín,6.2518,-75.5636
2023-04-18,24.8,15.3,19.1,9.2,9.7,30119.16,Medellín,6.2518,-75.5636
2023-04-19,26.6,14.4,20.0,1.0,8.7,36000.0,Medellín,6.2518,-75.5636
2023-04-20,25.3,15.4,19.4,17.5,5.5,25265.23,Medellín,6.2518,-75.5636
2023-04-21,23.9,15.7,18.9,18.5,6.6,27546.33,Medellín,6.2518,-75.5636
2023-04-22,23.4,15.7,19.0,1.8,7.2,29974.12,Medellín,6.2518,-75.5636
2023-04-23,26.0,14.3,19.2,2.2,9.4,33108.79,Medellín,6.2518,-75.5636
